City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nome,US,12.2,clear sky,64.5,-165.41,Dredge 7 Inn
1,Brunsbuttel,DE,63.0,overcast clouds,53.9,9.15,Ferien- Monteurswohnung
2,Bluff,NZ,55.99,scattered clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
3,Kapaa,US,75.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
4,Barrow,US,26.6,broken clouds,71.29,-156.79,King Eider Inn
6,Bredasdorp,ZA,64.4,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
8,Hermanus,ZA,64.0,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
10,Carnarvon,AU,73.4,clear sky,-24.87,113.63,Hospitality Carnarvon
11,Krasnoselkup,RU,22.33,overcast clouds,65.7,82.47,Krasnosel'kupnefteprodukt
12,Mataura,NZ,55.99,scattered clouds,-46.19,168.86,Ellie's Villa
14,Rikitea,PF,73.92,broken clouds,-23.12,-134.97,Pension Maro'i
15,Narsaq,GL,17.6,clear sky,60.92,-46.05,Hotel Narsaq
16,Barranco,PA,74.79,overcast clouds,9.52,-82.7,
17,Menongue,AO,70.14,few clouds,-14.66,17.69,Ritz Lauca
18,Ushuaia,AR,55.4,scattered clouds,-54.8,-68.3,Albatros Hotel
19,East London,ZA,60.8,few clouds,-33.02,27.91,Tu Casa
20,Nikolskoye,RU,33.8,overcast clouds,59.7,30.79,Tourist House - Sablino
21,Port Hardy,CA,53.6,overcast clouds,50.7,-127.42,Airport Inn
23,Coihaique,CL,51.8,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
26,Stoughton,US,45.0,overcast clouds,42.13,-71.1,Courtyard by Marriott Boston Stoughton
27,Klaksvik,FO,44.6,scattered clouds,62.23,-6.59,Airbnb rooms
28,Verkh-Chebula,RU,34.07,overcast clouds,56.03,87.62,
31,Uglegorsk,RU,46.56,broken clouds,49.08,142.03,Primorskaya Gostinitsa
32,Albany,US,39.99,broken clouds,42.6,-73.97,
33,Punta Arenas,CL,50.0,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
34,Manbij,SY,53.6,broken clouds,36.53,37.95,Manbej City Hotel
35,Tuatapere,NZ,55.99,few clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
36,Turayf,SA,57.2,scattered clouds,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
38,Caranavi,BO,66.07,overcast clouds,-15.82,-67.55,Hotel Landivar
39,Busselton,AU,64.99,light rain,-33.65,115.33,Observatory Guest House
41,Iqaluit,CA,15.8,light snow,63.75,-68.51,Frobisher Inn
45,Bonavista,CA,39.2,scattered clouds,48.65,-53.11,Abbott's Bed & Breakfast
46,Saint George,US,61.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
47,Richards Bay,ZA,64.62,moderate rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
48,Vao,NC,74.53,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
49,Barra Do Garcas,BR,70.52,broken clouds,-15.89,-52.26,Hotel Pousada Tropical
51,Faya,SA,55.4,clear sky,18.39,42.45,مقبرة ال مجمل
53,Baykit,RU,32.94,overcast clouds,61.67,96.37,
55,Castro,BR,50.49,broken clouds,-24.79,-50.01,CHACARA BAILLY
56,Collie,AU,64.99,overcast clouds,-33.37,116.15,Collie Ridge
58,Presidencia Roque Saenz Pena,AR,59.79,scattered clouds,-26.79,-60.44,Hotel Aconcagua
59,Miquelon,PM,48.94,overcast clouds,47.1,-56.38,Auberge de l’Île
60,Hearst,CA,17.6,overcast clouds,49.68,-83.67,Companion
61,Belmonte,BR,66.2,light rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
62,Puerto Ayora,EC,69.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
63,Talaya,RU,23.05,overcast clouds,61.38,152.75,
65,Kruisfontein,ZA,64.99,few clouds,-34.0,24.73,Oyster Bay House Rental
66,Guerrero Negro,MX,68.94,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
68,Nanortalik,GL,32.16,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
70,Fiumicino,IT,57.99,broken clouds,41.77,12.23,Al Porticciolo Hotel
