City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nome,US,64.5,-165.41,12.2,85,1,4.61,clear sky
1,Brunsbuttel,DE,53.9,9.15,63.0,93,100,8.01,overcast clouds
2,Bluff,NZ,-46.6,168.33,55.99,68,27,8.99,scattered clouds
3,Kapaa,US,22.08,-159.32,75.0,100,90,9.17,light rain
4,Barrow,US,71.29,-156.79,26.6,68,75,12.75,broken clouds
5,Tomatlan,MX,19.93,-105.25,75.65,91,4,3.47,clear sky
6,Bredasdorp,ZA,-34.53,20.04,64.4,82,99,10.29,overcast clouds
7,Eyl,SO,7.98,49.82,83.05,50,0,15.55,clear sky
8,Hermanus,ZA,-34.42,19.23,64.0,84,97,4.0,overcast clouds
9,Zhigansk,RU,66.77,123.37,2.7,92,100,22.15,overcast clouds
10,Carnarvon,AU,-24.87,113.63,73.4,49,0,14.99,clear sky
11,Krasnoselkup,RU,65.7,82.47,22.33,97,95,15.5,overcast clouds
12,Mataura,NZ,-46.19,168.86,55.99,68,25,8.99,scattered clouds
13,Hithadhoo,MV,-0.6,73.08,80.11,82,100,12.66,moderate rain
14,Rikitea,PF,-23.12,-134.97,73.92,85,78,24.65,broken clouds
15,Narsaq,GL,60.92,-46.05,17.6,52,0,4.7,clear sky
16,Barranco,PA,9.52,-82.7,74.79,85,97,2.48,overcast clouds
17,Menongue,AO,-14.66,17.69,70.14,53,21,2.21,few clouds
18,Ushuaia,AR,-54.8,-68.3,55.4,58,40,4.7,scattered clouds
19,East London,ZA,-33.02,27.91,60.8,100,20,6.93,few clouds
20,Nikolskoye,RU,59.7,30.79,33.8,100,90,8.95,overcast clouds
21,Port Hardy,CA,50.7,-127.42,53.6,93,90,2.24,overcast clouds
22,Atuona,PF,-9.8,-139.03,77.67,78,59,15.05,light rain
23,Coihaique,CL,-45.58,-72.07,51.8,62,0,3.36,clear sky
24,New Norfolk,AU,-42.78,147.06,82.99,27,92,1.01,overcast clouds
25,Omboue,GA,-1.57,9.26,75.43,93,99,5.23,moderate rain
26,Stoughton,US,42.13,-71.1,45.0,100,100,14.99,overcast clouds
27,Klaksvik,FO,62.23,-6.59,44.6,75,45,10.29,scattered clouds
28,Verkh-Chebula,RU,56.03,87.62,34.07,93,100,14.97,overcast clouds
29,Clyde River,CA,70.47,-68.59,8.6,84,90,14.99,overcast clouds
30,Vaini,TO,-21.2,-175.2,78.8,83,40,10.29,smoke
31,Uglegorsk,RU,49.08,142.03,46.56,69,78,13.51,broken clouds
32,Albany,US,42.6,-73.97,39.99,82,74,1.01,broken clouds
33,Punta Arenas,CL,-53.15,-70.92,50.0,76,0,8.05,clear sky
34,Manbij,SY,36.53,37.95,53.6,62,75,1.12,broken clouds
35,Tuatapere,NZ,-46.13,167.68,55.99,68,11,8.99,few clouds
36,Turayf,SA,31.67,38.66,57.2,93,40,8.05,scattered clouds
37,Butaritari,KI,3.07,172.79,82.13,80,40,10.4,light rain
38,Caranavi,BO,-15.82,-67.55,66.07,63,97,1.88,overcast clouds
39,Busselton,AU,-33.65,115.33,64.99,60,97,3.96,light rain
40,Khandyga,RU,62.67,135.6,-3.95,82,0,2.71,clear sky
41,Iqaluit,CA,63.75,-68.51,15.8,72,90,9.17,light snow
42,Fare,PF,-16.7,-151.02,80.76,77,23,19.19,light rain
43,Saint-Philippe,RE,-21.36,55.77,75.2,47,90,5.82,overcast clouds
44,Bambous Virieux,MU,-20.34,57.76,75.99,60,75,6.93,broken clouds
45,Bonavista,CA,48.65,-53.11,39.2,72,30,9.17,scattered clouds
46,Saint George,US,37.1,-113.58,61.0,15,1,3.71,clear sky
47,Richards Bay,ZA,-28.78,32.04,64.62,93,100,4.16,moderate rain
48,Vao,NC,-22.67,167.48,74.53,82,100,14.25,overcast clouds
49,Barra Do Garcas,BR,-15.89,-52.26,70.52,82,76,2.42,broken clouds
50,Qaanaaq,GL,77.48,-69.36,3.25,74,0,5.57,clear sky
51,Faya,SA,18.39,42.45,55.4,37,0,3.62,clear sky
52,Mount Gambier,AU,-37.83,140.77,82.4,28,68,12.75,broken clouds
53,Baykit,RU,61.67,96.37,32.94,93,100,7.9,overcast clouds
54,Manuk Mangkaw,PH,4.8,119.85,82.89,78,100,13.44,overcast clouds
55,Castro,BR,-24.79,-50.01,50.49,86,62,9.78,broken clouds
56,Collie,AU,-33.37,116.15,64.99,60,96,5.73,overcast clouds
57,Hilo,US,19.73,-155.09,80.6,69,1,3.36,clear sky
58,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,59.79,73,41,6.42,scattered clouds
59,Miquelon,PM,47.1,-56.38,48.94,77,100,22.37,overcast clouds
60,Hearst,CA,49.68,-83.67,17.6,78,87,5.82,overcast clouds
61,Belmonte,BR,-15.86,-38.88,66.2,93,75,8.05,light rain
62,Puerto Ayora,EC,-0.74,-90.35,69.01,90,100,5.01,overcast clouds
63,Talaya,RU,61.38,152.75,23.05,95,100,4.76,overcast clouds
64,Manado,ID,1.49,124.85,87.8,58,40,5.82,scattered clouds
65,Kruisfontein,ZA,-34.0,24.73,64.99,82,11,1.99,few clouds
66,Guerrero Negro,MX,27.98,-114.06,68.94,76,0,10.38,clear sky
67,Tete,MZ,-16.16,33.59,77.0,69,20,4.7,few clouds
68,Nanortalik,GL,60.14,-45.24,32.16,90,0,35.52,clear sky
69,Avarua,CK,-21.21,-159.78,75.2,94,93,13.87,light rain
70,Fiumicino,IT,41.77,12.23,57.99,100,75,2.24,broken clouds
71,Hambantota,LK,6.12,81.12,85.86,65,64,2.26,broken clouds
72,Esperance,AU,-33.87,121.9,64.4,100,75,18.34,light rain
73,Ilulissat,GL,69.22,-51.1,19.4,73,100,9.17,overcast clouds
74,Port Alfred,ZA,-33.59,26.89,66.87,76,8,17.0,clear sky
75,Lata,PT,40.16,-8.33,64.0,93,83,1.25,broken clouds
76,Loubomo,CG,-4.2,12.67,71.38,95,100,0.76,overcast clouds
77,Yar-Sale,RU,66.83,70.83,23.14,96,45,10.31,scattered clouds
78,Upernavik,GL,72.79,-56.15,16.48,92,98,4.5,overcast clouds
