City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,2020-11-02 03:20:48,69.45,-133.04,12.2,85,90,16.11
1,Roebourne,AU,2020-11-02 03:20:49,-20.78,117.13,84.27,39,31,14.97
2,Pringsewu,ID,2020-11-02 03:20:49,-5.36,104.97,86.4,60,76,6.22
3,Mataura,NZ,2020-11-02 03:17:26,-46.19,168.86,55.99,65,53,10.0
4,Ponta Do Sol,PT,2020-11-02 03:20:50,32.67,-17.1,66.2,72,40,2.24
5,Namatanai,PG,2020-11-02 03:18:26,-3.67,152.43,83.75,73,67,3.85
6,Omboue,GA,2020-11-02 03:20:50,-1.57,9.26,75.69,93,100,6.76
7,Arraial Do Cabo,BR,2020-11-02 03:14:54,-22.97,-42.03,68.22,72,2,16.69
8,Atuona,PF,2020-11-02 03:17:19,-9.8,-139.03,77.45,79,79,13.65
9,Anloga,GH,2020-11-02 03:20:52,5.79,0.9,79.63,86,72,9.98
10,Pevek,RU,2020-11-02 03:20:53,69.7,170.31,13.98,97,100,9.62
11,Baykit,RU,2020-11-02 03:18:11,61.67,96.37,26.64,96,100,6.2
12,Shahpur,IN,2020-11-02 03:20:54,16.7,76.83,73.56,60,0,6.78
13,Hermanus,ZA,2020-11-02 03:17:56,-34.42,19.23,62.01,86,97,3.0
14,Khatanga,RU,2020-11-02 03:18:05,71.97,102.5,8.76,95,99,8.39
15,Conceicao Do Araguaia,BR,2020-11-02 03:18:23,-8.26,-49.26,75.76,89,100,2.24
16,Manta,EC,2020-11-02 03:20:22,-0.95,-80.73,75.2,83,75,9.17
17,Cape Town,ZA,2020-11-02 03:19:42,-33.93,18.42,62.01,82,0,6.93
18,General Roca,AR,2020-11-02 03:20:56,-39.03,-67.58,77.0,29,0,5.82
19,Paamiut,GL,2020-11-02 03:17:57,61.99,-49.67,26.74,92,45,5.95
20,Icod De Los Vinos,ES,2020-11-02 03:20:56,28.37,-16.71,72.0,41,0,3.36
21,Zaraza,VE,2020-11-02 03:20:57,9.35,-65.32,74.89,96,98,3.42
22,Daru,PG,2020-11-02 03:20:57,-9.08,143.21,85.01,73,83,11.88
23,Georgetown,MY,2020-11-02 03:19:00,5.41,100.34,84.2,83,20,6.93
24,Ginda,IN,2020-11-02 03:19:41,30.69,78.49,60.8,82,20,3.36
25,Nova Vicosa,BR,2020-11-02 03:20:58,-17.89,-39.37,72.09,85,100,15.99
26,Kapaa,US,2020-11-02 03:20:59,22.08,-159.32,77.0,83,90,8.05
27,Rikitea,PF,2020-11-02 03:17:21,-23.12,-134.97,73.85,86,91,24.32
28,Ambon,ID,2020-11-02 03:20:59,-3.7,128.18,84.81,70,99,8.68
29,Tazovskiy,RU,2020-11-02 03:18:48,67.47,78.7,20.66,97,97,14.61
30,Hit,IQ,2020-11-02 03:21:00,33.64,42.83,68.49,24,67,10.09
31,Port Alfred,ZA,2020-11-02 03:17:45,-33.59,26.89,63.9,83,9,17.65
32,Kherson,UA,2020-11-02 03:21:01,46.66,32.62,48.2,93,75,6.71
33,Bathsheba,BB,2020-11-02 03:18:38,13.22,-59.52,82.4,78,40,23.04
34,Jalu,LY,2020-11-02 03:20:12,29.03,21.55,62.08,67,1,6.46
35,Mainaguri,IN,2020-11-02 03:21:01,26.57,88.82,78.94,75,44,2.8
36,Iquique,CL,2020-11-02 03:21:02,-20.22,-70.14,62.6,72,90,8.05
37,Souillac,MU,2020-11-02 03:21:02,-20.52,57.52,68.0,77,75,6.93
38,Eldorado,BR,2020-11-02 03:21:02,-23.79,-54.28,66.07,63,0,3.27
39,Sao Jose De Ribamar,BR,2020-11-02 03:21:03,-2.56,-44.05,80.6,88,0,9.17
40,Dikson,RU,2020-11-02 03:17:41,73.51,80.55,18.46,98,89,8.95
41,Klaksvik,FO,2020-11-02 03:18:05,62.23,-6.59,44.6,81,47,14.99
42,Hilo,US,2020-11-02 03:18:13,19.73,-155.09,84.2,62,40,4.7
43,Beloha,MG,2020-11-02 03:18:14,-25.17,45.05,67.33,81,0,14.47
44,Busselton,AU,2020-11-02 03:19:08,-33.65,115.33,59.0,86,95,4.83
45,Albany,US,2020-11-02 03:17:50,42.6,-73.97,41.0,75,76,1.01
46,Vaini,TO,2020-11-02 03:17:51,-21.2,-175.2,80.6,78,20,13.87
47,Qaanaaq,GL,2020-11-02 03:17:49,77.48,-69.36,3.0,75,0,6.51
48,Saldanha,ZA,2020-11-02 03:18:21,-33.01,17.94,57.2,71,0,3.36
49,Elliot Lake,CA,2020-11-02 03:21:07,46.38,-82.63,28.4,63,75,21.92
